,adult,id,original_language,popularity,revenue,runtime,status,video,vote_average,vote_count,genreset,prod_comp,prod_countries,status_int,lang_int
0,0,862,en,21.946943,373554033.0,81.0,Released,0,7.7,5415.0,"['Animation', 'Comedy', 'Family']",['Pixar Animation Studios'],['United States of America'],1,13
1,0,8844,en,17.015539,262797249.0,104.0,Released,0,6.9,2413.0,"['Adventure', 'Fantasy', 'Family']","['TriStar Pictures', 'Teitler Film', 'Interscope Communications']",['United States of America'],1,13
2,0,31357,en,3.859495,81452156.0,127.0,Released,0,6.1,34.0,"['Comedy', 'Drama', 'Romance']",['Twentieth Century Fox Film Corporation'],['United States of America'],1,13
3,0,11862,en,8.387519,76578911.0,106.0,Released,0,5.7,173.0,['Comedy'],"['Sandollar Productions', 'Touchstone Pictures']",['United States of America'],1,13
4,0,949,en,17.924927,187436818.0,170.0,Released,0,7.7,1886.0,"['Action', 'Crime', 'Drama', 'Thriller']","['Regency Enterprises', 'Forward Pass', 'Warner Bros.']",['United States of America'],1,13
5,0,9091,en,5.23158,64350171.0,106.0,Released,0,5.5,174.0,"['Action', 'Adventure', 'Thriller']","['Universal Pictures', 'Imperial Entertainment', 'Signature Entertainment']",['United States of America'],1,13
6,0,710,en,14.686036,352194034.0,130.0,Released,0,6.6,1194.0,"['Adventure', 'Action', 'Thriller']","['United Artists', 'Eon Productions']","['United Kingdom', 'United States of America']",1,13
7,0,9087,en,6.318445,107879496.0,106.0,Released,0,6.5,199.0,"['Comedy', 'Drama', 'Romance']","['Columbia Pictures', 'Castle Rock Entertainment']",['United States of America'],1,13
8,0,21032,en,12.140733,11348324.0,78.0,Released,0,7.1,423.0,"['Family', 'Animation', 'Adventure']","['Universal Pictures', 'Amblin Entertainment', 'Amblimation']",['United States of America'],1,13
9,0,10858,en,5.092,13681765.0,192.0,Released,0,7.1,72.0,"['History', 'Drama']","['Hollywood Pictures', 'Cinergi Pictures Entertainment']",['United States of America'],1,13
